feature,fisher,MI_bits,fisher_min_fold,stability
vertbp_madiff,4.333013904906605,0.7390914117724134,3.550230783757189,4
vertbp_iqr,4.253773448440736,0.7168078347446404,3.251369887047386,4
vertbp_p95abs,2.751355400446522,0.6329848954784163,2.2233004621732984,4
horiz_madiff,2.3939917935305495,0.6113467663771348,1.734304960477395,4
vertbp_p2p,1.7043572808748586,0.5404884953714637,1.322477762577634,4
horiz_iqr,1.3923675306452448,0.42691511942617966,0.9982330870910915,4
vert_p95abs,1.2754683295407934,0.38250491421624205,1.096311194436343,4
horiz_p95abs,1.2737850508992459,0.46538557531918345,0.8652591931105794,4
vert_bp8-15,1.1133765638181325,0.6113565177780775,0.8472347144796306,4
vert_iqr,0.9059991098612277,0.3011100332229551,0.6834057504878372,2
vert_bf0.5-3,0.856280027392006,0.34585096201199184,0.7617452468787108,0
vert_bf3-8,0.8295914663655348,0.2823041057264334,0.7416230713740873,1
horiz_p2p,0.820636061855075,0.4525746876956847,0.5748709448588463,1
vert_bp3-8,0.8023842354225711,0.5240723703403549,0.7244169991147236,0
vert_spec_entropy,0.6749024068145022,0.33027559313267063,0.5315814448692617,0
vert_bp15-30,0.607417328846178,0.5897012500264631,0.556080765274842,0
horiz_zcr,0.5747174232711323,0.19442429068607825,0.4387316685019098,0
vert_skew,0.5698720509567449,0.3007656828605013,0.44219100961516716,0
vert_zcr,0.47551968327171273,0.3169374094831865,0.3672599420109686,0
gyro_zcr,0.4272714806330166,0.22567966264584613,0.36767424011389493,0
gyro_spec_entropy,0.40105797138682564,0.29157956039115523,0.3030695412888102,0
vert_centroid,0.38373601950428304,0.32177334610735847,0.2710984787053419,0
gyro_madiff,0.35707104662063194,0.3086804684345886,0.10805253260057605,0
gyro_bf8-15,0.31573179300176685,0.21402241185667614,0.2769096654651763,0
gyro_bf15-30,0.2887942490493754,0.31867246389124565,0.2479299150184044,0
gyro_bp15-30,0.2783455287807911,0.3956929010555346,0.13375243278200094,0
gyro_centroid,0.25743573614980847,0.20248129376745785,0.21968469556515616,0
horiz_skew,0.2509038746592179,0.1454849514237441,0.18348858852068875,0
vertbp_skew,0.24902353644104158,0.11679342238085251,0.17919985418161574,0
vert_bf8-15,0.19178104233814253,0.1793973503574165,0.14425844945153846,0
gyro_bf0.5-3,0.16267402142128606,0.086163487035534,0.11019977804937454,0
vert_bf15-30,0.1299673470820289,0.10538902540772159,0.049362336564909105,0
vert_domfreq,0.11923122773228059,0.14971137628563266,0.073061250995453,0
horiz_kurt,0.10737539090023333,0.12414222967477466,0.0824425964804489,0
gyro_bp8-15,0.10541808872779622,0.3526739998889206,0.003583832087905844,0
gyro_bp0.5-3,0.08497266573116237,0.14385078360753825,0.004457440360321147,0
gyro_bp30-50,0.08326777357203445,0.2735335654465243,0.015903356784980338,0
gyro_skew,0.0749607106213033,0.10458520656981263,0.04114978809904173,0
gyro_bf30-50,0.07407956258186009,0.1675995976299036,0.0371213317434878,0
gyro_p2p,0.05646544462402951,0.25002204126943683,0.0019591292350958937,0
vert_kurt,0.045606524395832855,0.12347259979595865,0.037798091580920096,0
gyro_bf3-8,0.04016787516915195,0.05071717157259372,0.002461578315760431,0
gyro_kurt,0.033188893932250205,0.13716113250254738,0.012441221118352492,0
vert_bp30-50,0.033100899348081386,0.4504119350647745,0.008667422811891068,0
gyro_bp3-8,0.02904509939537896,0.130287961290379,5.580778842036444e-06,0
gyro_iqr,0.028225593517845524,0.15676767880143191,0.0009630424372525839,0
vert_bp0.5-3,0.023860909388680098,0.18895214481867384,0.0025372689681580894,0
gyro_p95abs,0.022241927854042002,0.1843663644363934,0.0005469196137708903,0
vertbp_zcr,0.01546541473077195,0.06089864905193704,0.0016160014271361495,0
vert_bf30-50,0.007444393308386923,0.03914388345236608,0.00013697528456730032,0
vertbp_kurt,0.002614076072763832,0.007646873671500559,8.10145637523184e-06,0
gyro_domfreq,0.002064593312738731,0.08472273128473226,9.947704549215537e-05,0
