split,model,held_out,n,tp,fp,tn,fn,accuracy,balanced_accuracy,precision,recall,specificity,f1
grouped folds,"k-means, 2D: vertbp_madiff + horiz_madiff",fold 0,190,45,4,108,33,0.8052631578947368,0.7706043956043955,0.9183673469387755,0.5769230769230769,0.9642857142857143,0.7086614173228346
grouped folds,"k-means, 2D: vertbp_madiff + horiz_madiff",fold 1,188,112,3,68,5,0.9574468085106383,0.9575057180690983,0.9739130434782609,0.9572649572649573,0.9577464788732394,0.9655172413793104
grouped folds,"k-means, 2D: vertbp_madiff + horiz_madiff",fold 2,199,108,0,84,7,0.964824120603015,0.9695652173913043,1.0,0.9391304347826087,1.0,0.968609865470852
grouped folds,"k-means, 2D: vertbp_madiff + horiz_madiff",fold 3,191,72,4,102,13,0.9109947643979057,0.904661487236404,0.9473684210526315,0.8470588235294118,0.9622641509433962,0.8944099378881987
grouped folds,"k-means, top-5 Fisher",fold 0,190,52,4,108,26,0.8421052631578947,0.8154761904761905,0.9285714285714286,0.6666666666666666,0.9642857142857143,0.7761194029850746
grouped folds,"k-means, top-5 Fisher",fold 1,188,108,3,68,9,0.9361702127659575,0.9404117009750812,0.972972972972973,0.9230769230769231,0.9577464788732394,0.9473684210526315
grouped folds,"k-means, top-5 Fisher",fold 2,199,111,1,83,4,0.9748743718592965,0.976656314699793,0.9910714285714286,0.9652173913043478,0.9880952380952381,0.9779735682819383
grouped folds,"k-means, top-5 Fisher",fold 3,191,73,6,100,12,0.9057591623036649,0.9011098779134294,0.9240506329113924,0.8588235294117647,0.9433962264150944,0.8902439024390243
grouped folds,"k-means, all kept (52)",fold 0,190,34,5,107,44,0.7421052631578947,0.6956272893772895,0.8717948717948718,0.4358974358974359,0.9553571428571429,0.5811965811965812
grouped folds,"k-means, all kept (52)",fold 1,188,106,28,43,11,0.7925531914893617,0.7558083543999037,0.7910447761194029,0.905982905982906,0.6056338028169014,0.8446215139442231
grouped folds,"k-means, all kept (52)",fold 2,199,107,1,83,8,0.9547738693467337,0.9592650103519669,0.9907407407407407,0.9304347826086956,0.9880952380952381,0.9596412556053812
grouped folds,"k-means, all kept (52)",fold 3,191,73,17,89,12,0.8481675392670157,0.8492230854605993,0.8111111111111111,0.8588235294117647,0.839622641509434,0.8342857142857144
grouped folds,baseline: threshold on vertbp_madiff,fold 0,190,60,4,108,18,0.8842105263157894,0.8667582417582418,0.9375,0.7692307692307693,0.9642857142857143,0.8450704225352113
grouped folds,baseline: threshold on vertbp_madiff,fold 1,188,113,2,69,4,0.9680851063829787,0.9688214758637295,0.9826086956521739,0.9658119658119658,0.971830985915493,0.9741379310344828
grouped folds,baseline: threshold on vertbp_madiff,fold 2,199,113,1,83,2,0.9849246231155779,0.9853519668737061,0.9912280701754386,0.9826086956521739,0.9880952380952381,0.9868995633187774
grouped folds,baseline: threshold on vertbp_madiff,fold 3,191,80,10,96,5,0.9214659685863874,0.9234184239733629,0.8888888888888888,0.9411764705882353,0.9056603773584906,0.9142857142857143
leave-one-participant-out,"k-means, 2D: vertbp_madiff + horiz_madiff",P01,198,80,0,88,30,0.8484848484848485,0.8636363636363636,1.0,0.7272727272727273,1.0,0.8421052631578948
leave-one-participant-out,"k-means, 2D: vertbp_madiff + horiz_madiff",P02,292,127,12,151,2,0.952054794520548,0.9554382460645836,0.9136690647482014,0.9844961240310077,0.9263803680981595,0.9477611940298507
leave-one-participant-out,"k-means, 2D: vertbp_madiff + horiz_madiff",P03,278,133,0,122,23,0.9172661870503597,0.9262820512820513,1.0,0.8525641025641025,1.0,0.9204152249134947
leave-one-participant-out,"k-means, top-5 Fisher",P01,198,74,0,88,36,0.8181818181818182,0.8363636363636364,1.0,0.6727272727272727,1.0,0.8043478260869564
leave-one-participant-out,"k-means, top-5 Fisher",P02,292,129,19,144,0,0.934931506849315,0.941717791411043,0.8716216216216216,1.0,0.8834355828220859,0.9314079422382672
leave-one-participant-out,"k-means, top-5 Fisher",P03,278,134,1,121,22,0.9172661870503597,0.9253888188314418,0.9925925925925926,0.8589743589743589,0.9918032786885246,0.9209621993127148
leave-one-participant-out,"k-means, all kept (52)",P01,198,63,0,88,47,0.7626262626262627,0.7863636363636364,1.0,0.5727272727272728,1.0,0.7283236994219653
leave-one-participant-out,"k-means, all kept (52)",P02,292,91,18,145,38,0.8082191780821918,0.7974984543681933,0.8348623853211009,0.7054263565891473,0.8895705521472392,0.7647058823529411
leave-one-participant-out,"k-means, all kept (52)",P03,278,152,46,76,4,0.8201438848920863,0.7986548970155527,0.7676767676767676,0.9743589743589743,0.6229508196721312,0.8587570621468926
leave-one-participant-out,baseline: threshold on vertbp_madiff,P01,198,100,0,88,10,0.9494949494949495,0.9545454545454546,1.0,0.9090909090909091,1.0,0.9523809523809523
leave-one-participant-out,baseline: threshold on vertbp_madiff,P02,292,128,20,143,1,0.928082191780822,0.9347743377562182,0.8648648648648649,0.9922480620155039,0.8773006134969326,0.924187725631769
leave-one-participant-out,baseline: threshold on vertbp_madiff,P03,278,138,4,118,18,0.920863309352518,0.9259142496847415,0.971830985915493,0.8846153846153846,0.9672131147540983,0.9261744966442953
