split,model,accuracy_mean,accuracy_min,balanced_accuracy_mean,balanced_accuracy_min,precision_mean,precision_min,recall_mean,recall_min,specificity_mean,specificity_min,f1_mean,f1_min
grouped folds,baseline: threshold on vertbp_madiff,0.9396715561001834,0.8842105263157894,0.9360875271172601,0.8667582417582418,0.9500564136791253,0.8888888888888888,0.914706975320786,0.7692307692307693,0.957468078913734,0.9056603773584906,0.9300984077935464,0.8450704225352113
grouped folds,default forest,0.9270661639282286,0.8842105263157894,0.9247719394440429,0.8667582417582418,0.9321729743172364,0.8350515463917526,0.9110892517542134,0.7692307692307693,0.9384546271338725,0.8490566037735849,0.9185395912900679,0.8450704225352113
grouped folds,"forest, tuned by inner CV",0.9227478944472307,0.8894736842105263,0.9154741129462224,0.8731684981684982,0.9187606524070208,0.851063829787234,0.9200116947559402,0.782051282051282,0.9109365311365045,0.8591549295774648,0.9167779486469176,0.8531468531468531
grouped folds,full-depth tree,0.9049351155618621,0.8631578947368421,0.9047782881724132,0.8450091575091575,0.9023986949180534,0.7657657657657657,0.9056484578223709,0.7435897435897436,0.9039081185224556,0.7547169811320755,0.8980205238875726,0.8169014084507042
grouped folds,stump (depth 1),0.9106637254122374,0.8743455497382199,0.9031749433448182,0.8717346815938365,0.8951601539782509,0.7798165137614679,0.9347175771088815,0.782051282051282,0.871632309580755,0.7605633802816901,0.9088966081020027,0.8531468531468531
leave-one-participant-out,baseline: threshold on vertbp_madiff,0.9328134835427632,0.920863309352518,0.9384113473288047,0.9259142496847415,0.9455652835934526,0.8648648648648649,0.9286514519072658,0.8846153846153846,0.9481712427503437,0.8773006134969326,0.9342477248856721,0.924187725631769
leave-one-participant-out,default forest,0.8935655128864944,0.8561151079136691,0.9045132253846928,0.8709016393442623,0.9260369298608241,0.7865853658536586,0.8833333333333333,0.75,0.9256931174360522,0.7852760736196319,0.8939763648927007,0.8540145985401459
leave-one-participant-out,"forest, tuned by inner CV",0.8855746453065857,0.8561151079136691,0.8973557611720139,0.8709016393442623,0.9153037962136982,0.7543859649122807,0.8833333333333333,0.75,0.9113781890106942,0.7423312883435583,0.8871276731975924,0.8540145985401459
leave-one-participant-out,full-depth tree,0.7822483399747616,0.6565656565656566,0.8041464807053664,0.6909090909090909,0.9166130416130417,0.7678571428571429,0.6935120435120435,0.38181818181818183,0.9147809178986893,0.7607361963190185,0.745932616127767,0.5526315789473685
leave-one-participant-out,stump (depth 1),0.9194841718986786,0.8801369863013698,0.9265051213121493,0.8918295524801445,0.920517342739565,0.7901234567901234,0.9334688567246707,0.8717948717948718,0.9195413858996279,0.7914110429447853,0.9219267183547711,0.8797250859106528
